,precision,recall,f1-score,support
0,0.947368421052632,0.6,0.73469387755102,60
1,0.936106983655275,0.875,0.904522613065327,720
2,0.91644908616188,0.936,0.926121372031662,750
3,0.940265486725664,0.944444444444444,0.942350332594235,450
4,0.789667896678967,0.972727272727273,0.871690427698574,660
5,0.884868421052632,0.853968253968254,0.869143780290792,630
6,0.981481481481482,0.706666666666667,0.821705426356589,150
7,0.906474820143885,0.84,0.8719723183391,450
8,0.923423423423423,0.911111111111111,0.917225950782998,450
9,0.979508196721311,0.995833333333333,0.987603305785124,480
10,0.968229954614221,0.96969696969697,0.968962906888721,660
11,0.957605985037406,0.914285714285714,0.935444579780755,420
12,0.984848484848485,0.942028985507246,0.962962962962963,690
13,0.974184782608696,0.995833333333333,0.98489010989011,720
14,0.996047430830039,0.933333333333333,0.963671128107075,270
15,0.965,0.919047619047619,0.941463414634146,210
16,0.986666666666667,0.986666666666667,0.986666666666667,150
17,0.988700564971751,0.972222222222222,0.980392156862745,360
18,0.873278236914601,0.812820512820513,0.841965471447543,390
19,0.661971830985916,0.783333333333333,0.717557251908397,60
20,0.754385964912281,0.955555555555556,0.843137254901961,90
21,0.970588235294118,0.366666666666667,0.532258064516129,90
22,0.90990990990991,0.841666666666667,0.874458874458875,120
23,0.92,0.766666666666667,0.836363636363636,150
24,0.489208633093525,0.755555555555556,0.593886462882096,90
25,0.890041493775934,0.89375,0.891891891891892,480
26,0.919254658385093,0.822222222222222,0.868035190615836,180
27,0.439393939393939,0.483333333333333,0.46031746031746,60
28,0.938775510204082,0.92,0.929292929292929,150
29,0.880952380952381,0.822222222222222,0.850574712643678,90
30,0.805555555555556,0.773333333333333,0.789115646258503,150
31,0.844827586206896,0.907407407407407,0.875,270
32,0.64,0.8,0.711111111111111,60
33,0.908296943231441,0.990476190476191,0.947608200455581,210
34,0.913385826771654,0.966666666666667,0.939271255060729,120
35,0.982142857142857,0.987179487179487,0.9846547314578,390
36,0.981651376146789,0.891666666666667,0.934497816593887,120
37,0.780821917808219,0.95,0.857142857142857,60
38,0.9275956284153,0.984057971014493,0.954992967651195,690
39,0.966666666666667,0.966666666666667,0.966666666666667,90
40,0.709302325581395,0.677777777777778,0.693181818181818,90
41,0.846153846153846,0.916666666666667,0.88,60
42,0.858585858585859,0.944444444444444,0.899470899470899,90
